t,pitch_hz,pitch_midi
147.09,281.1477625912934,61
147.1,282.4100105062441,61
147.11,283.1713368751028,61
147.12,285.29349579430755,61
147.13,287.2936296653289,62
147.14,288.9841607751501,62
147.15,290.6304791012044,62
147.16,291.86242830634563,62
147.17,291.9312489414209,62
147.18,291.9944894782959,62
147.19,292.236858555469,62
147.2,292.7203778007408,62
147.21,292.7534807830478,62
147.22,291.77771653447064,62
147.23,291.5560861227082,62
147.24,290.90485245394075,62
147.25,290.25816352982434,62
147.26,290.75288134227344,62
147.27,291.05324019669723,62
147.28,291.5475737736522,62
147.29,292.67289383430045,62
147.3,294.0953470617503,62
147.31,294.94500078226986,62
147.32,295.1046793908983,62
147.33,294.6376821571521,62
147.34,293.9770453911731,62
147.35,293.47198081349643,62
147.36,292.2299244546,62
147.37,290.6591207881691,62
147.38,288.74087043889136,62
147.39,290.24017011997444,62
147.4,291.9888035276681,62
147.41,292.6136488217561,62
147.42,291.570396825122,62
147.43,291.5388643340935,62
147.44,291.7525906772549,62
147.45,291.1417378146476,62
147.46,289.56389013185805,62
147.47,0.0,0
147.48,0.0,0
147.49,0.0,0
147.5,0.0,0
147.51,329.5891209461576,64
147.52,327.0468206971822,64
147.53,325.4904243891471,64
147.54,324.6182446334876,64
147.55,324.8188514610183,64
147.56,326.02365457247913,64
147.57,326.55118578996985,64
147.58,326.4995776922716,64
147.59,326.3997678797331,64
147.6,326.8172812340342,64
147.61,327.1589552922506,64
147.62,327.45183122283146,64
147.63,328.4019218810352,64
147.64,327.94075066783563,64
147.65,325.08752112173346,64
147.66,324.79546293256556,64
147.67,326.9161848310137,64
147.68,328.3023046797084,64
147.69,330.31634344777075,64
147.7,333.28182662743944,64
147.71,336.12870056282355,64
147.72,343.00857847817133,65
147.73,351.34155564708925,65
147.74,357.7299756356255,65
147.75,363.79229492213665,66
147.76,367.8906316415734,66
147.77,370.37021054974554,66
147.78,370.29873084963396,66
147.79,369.1496454934573,66
147.8,368.0827145634543,66
147.81,367.2573980063261,66
147.82,366.14343513891214,66
147.83,362.580855621926,66
147.84,355.8071421340763,65
147.85,342.68445094033405,65
147.86,327.18012746213986,64
147.87,310.8742041497923,63
147.88,315.08293184761965,63
147.89,319.38139689978675,63
147.9,319.72073296430386,63
147.91,320.1444443164677,63
147.92,318.68709127899467,63
147.93,313.24545919450554,63
147.94,302.1465122818103,62
147.95,294.6403891227962,62
147.96,293.9009395482249,62
147.97,294.1639430329627,62
147.98,295.6187138193311,62
147.99,294.3575329435866,62
148.0,292.8274549877868,62
148.01,292.8091489165489,62
148.02,293.0462590519024,62
148.03,294.4742203321504,62
148.04,298.596345552244,62
148.05,301.68306352760226,62
148.06,304.2658930438027,63
148.07,309.7290445834415,63
148.08,314.6438147258433,63
148.09,321.01846302625984,64
148.1,325.3779255913685,64
148.11,325.38653194474676,64
148.12,325.42678929390615,64
148.13,325.9029628690742,64
148.14,326.6345608406485,64
148.15,326.8988564059703,64
148.16,326.7228349349414,64
148.17,326.9746118013471,64
148.18,327.5483547437107,64
148.19,327.35462483718453,64
148.2,327.54057702725055,64
148.21,327.94851321587964,64
148.22,327.55256160548157,64
148.23,326.3278618352984,64
148.24,325.42151437381483,64
148.25,325.98876887375224,64
148.26,326.8687983168254,64
148.27,327.3073563326,64
148.28,327.28576303181063,64
148.29,327.8945987033772,64
148.3,328.7157648754222,64
148.31,329.0424619519728,64
148.32,328.5400322421239,64
148.33,328.12731202228053,64
148.34,327.6975503666908,64
148.35,326.88475720864295,64
148.36,326.90251602028496,64
148.37,327.2791260962762,64
148.38,327.5981770108203,64
148.39,328.2433930263222,64
148.4,328.2499420840219,64
148.41,327.56698068875085,64
148.42,327.1864895911578,64
148.43,327.1774600524857,64
148.44,327.24634331503063,64
148.45,327.01670971396186,64
148.46,326.4486778318454,64
148.47,326.1647768888124,64
148.48,326.30961162221274,64
148.49,326.47204112712495,64
148.5,326.7799695842126,64
148.51,327.22503567409996,64
148.52,327.65526208292545,64
148.53,327.5301057868357,64
148.54,326.89364452952566,64
148.55,326.0276420265718,64
148.56,324.38124445593917,64
148.57,322.23088765770376,64
148.58,320.29379221185945,64
148.59,319.97718335271685,63
148.6,319.8721566791037,63
148.61,318.373959620417,63
148.62,315.2992234850561,63
148.63,311.45420198129233,63
148.64,309.17952914037784,63
148.65,307.318167349986,63
148.66,305.687436879821,63
148.67,304.1635980057952,63
148.68,301.96016382863394,62
148.69,299.87201189373604,62
148.7,316.32988006185667,63
148.71,322.397624228608,64
148.72,324.4305056758066,64
148.73,323.95551631936894,64
148.74,322.24909403501056,64
148.75,0.0,0
148.76,0.0,0
148.77,0.0,0
148.78,324.3140754754918,64
148.79,324.9597807819738,64
148.8,325.68241774012915,64
148.81,326.1044035368975,64
148.82,325.9188691007591,64
148.83,325.3488026874057,64
148.84,325.5539045312472,64
148.85,326.0086025901197,64
148.86,325.8631907351961,64
148.87,325.25475740013195,64
148.88,324.780828574266,64
148.89,324.6210655155336,64
148.9,324.5718046673815,64
148.91,324.59500223201604,64
148.92,323.3591082090154,64
148.93,321.001133552145,64
148.94,321.7705790305217,64
148.95,0.0,0
148.96,0.0,0
148.97,0.0,0
148.98,0.0,0
148.99,0.0,0
149.0,0.0,0
149.01,0.0,0
149.02,0.0,0
149.03,0.0,0
149.04,0.0,0
149.05,326.3970156493811,64
149.06,326.706202255796,64
149.07,326.6505897573848,64
149.08,325.78678107688637,64
149.09,324.3582861759983,64
149.1,324.39663496244515,64
149.11,324.7708873288516,64
149.12,324.97844662180853,64
149.13,324.83196596117494,64
149.14,324.1673109649759,64
